epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,20.9301,0.6388,0.6558,4.6854,0.0638,4236.8895,0,0.0001
2,18.6126,0.7286,0.7145,1.9799,0.0239,4234.8504,0,0.0001
3,12.0852,0.7181,0.7029,2.2199,0.0202,2110.9983,0,0.0001
4,5.4856,0.7004,0.6769,2.6379,0.0180,19.3944,0,0.0001
5,5.3941,0.7031,0.6764,2.6059,0.0178,17.9253,0,0.0001
6,5.3793,0.7023,0.6772,2.5855,0.0177,17.8423,0,0.0001
7,5.3688,0.6990,0.6732,2.5787,0.0177,17.5435,0,0.0001
8,5.3751,0.6976,0.6754,2.5758,0.0176,17.3312,0,0.0001
9,5.3440,0.7006,0.6760,2.5589,0.0177,17.2463,0,0.0001
