epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,5.2759,0.4268,0.1476,2.2975,0.0276,855.8110,0,0.0001
2,1.6055,0.5192,0.4063,1.1298,0.0180,1.8379,0,0.0001
3,1.5373,0.5190,0.4865,1.0125,0.0175,1.7540,0,0.0001
4,1.5115,0.5189,0.4999,0.9402,0.0173,1.7034,0,0.0001
5,1.4916,0.5150,0.5139,0.8389,0.0174,1.6699,0,0.0001
6,1.4735,0.5137,0.5265,0.7042,0.0173,1.6791,0,0.0001
7,1.4560,0.5196,0.5333,0.6663,0.0171,1.6365,0,0.0001
8,1.4459,0.5189,0.5371,0.6404,0.0172,1.6349,0,0.0001
9,1.4438,0.5160,0.5371,0.6220,0.0172,1.6111,0,0.0001
10,1.4313,0.5195,0.5389,0.6177,0.0172,1.5909,0,0.0001
11,1.4290,0.5178,0.5409,0.6112,0.0171,1.5619,0,0.0001
12,1.4240,0.5187,0.5433,0.6012,0.0172,1.5445,0,0.0001
13,1.4184,0.5175,0.5425,0.6006,0.0172,1.5361,0,0.0001
14,1.4159,0.5193,0.5422,0.5939,0.0172,1.5141,0,0.0001
15,1.4123,0.5183,0.5455,0.5937,0.0172,1.5161,0,0.0001
16,1.4083,0.5183,0.5477,0.5914,0.0172,1.4911,0,0.0001
17,1.4058,0.5186,0.5473,0.5853,0.0171,1.4744,0,0.0001
18,1.4009,0.5215,0.5481,0.5801,0.0171,1.4561,0,0.0001
19,1.4016,0.5206,0.5461,0.5789,0.0171,1.4444,0,0.0001
20,1.3966,0.5215,0.5487,0.5783,0.0171,1.4377,0,0.0001
21,1.3960,0.5222,0.5492,0.5753,0.0170,1.4330,0,0.0001
22,1.3955,0.5194,0.5524,0.5769,0.0171,1.4489,0,0.0001
23,1.3971,0.5177,0.5521,0.5746,0.0172,1.4277,0,0.0001
24,1.3866,0.5228,0.5536,0.5724,0.0170,1.4150,0,0.0001
25,1.3902,0.5186,0.5550,0.5715,0.0172,1.4328,0,0.0001
26,1.3871,0.5209,0.5543,0.5731,0.0171,1.4245,0,0.0001
27,1.3831,0.5226,0.5519,0.5714,0.0170,1.4288,0,0.0001
28,1.3821,0.5206,0.5504,0.5725,0.0171,1.4255,0,0.0001
29,1.3765,0.5204,0.5511,0.5733,0.0171,1.4265,0,0.0001
30,1.3720,0.5221,0.5545,0.5734,0.0171,1.4214,0,0.0001
31,1.3710,0.5215,0.5538,0.5668,0.0170,1.3999,0,0.0001
32,1.3709,0.5204,0.5548,0.5681,0.0171,1.4144,0,0.0001
33,1.3645,0.5215,0.5540,0.5686,0.0171,1.4153,0,0.0001
34,1.3649,0.5205,0.5533,0.5714,0.0171,1.4071,0,0.0001
35,1.3626,0.5205,0.5551,0.5740,0.0171,1.4171,0,0.0001
36,1.3611,0.5185,0.5552,0.5738,0.0172,1.4305,0,0.0001
37,1.3557,0.5236,0.5556,0.5679,0.0171,1.4099,0,0.0001
36,1.3598,0.5221,0.5552,0.5690,0.0171,1.4168,0,0.0001
37,1.3591,0.5209,0.5574,0.5716,0.0171,1.4140,0,0.0001
38,1.3568,0.5213,0.5570,0.5670,0.0171,1.4057,0,0.0001
39,1.3544,0.5205,0.5571,0.5710,0.0171,1.4028,0,0.0001
40,1.3540,0.5249,0.5555,0.5663,0.0170,1.4280,0,0.0001
41,1.3522,0.5230,0.5576,0.5689,0.0171,1.4183,0,0.0001
42,1.3495,0.5217,0.5590,0.5691,0.0171,1.4141,0,0.0001
43,1.3510,0.5212,0.5579,0.5674,0.0170,1.4117,0,0.0001
44,1.3500,0.5225,0.5591,0.5703,0.0170,1.4125,0,0.0001
45,1.3485,0.5207,0.5601,0.5673,0.0171,1.4185,0,0.0001
46,1.3454,0.5236,0.5612,0.5682,0.0170,1.4044,0,0.0001
47,1.3436,0.5229,0.5594,0.5660,0.0170,1.4211,0,0.0001
48,1.3452,0.5202,0.5613,0.5673,0.0171,1.4311,0,0.0001
49,1.3391,0.5232,0.5631,0.5677,0.0171,1.4297,0,0.0001
50,1.3368,0.5243,0.5659,0.5697,0.0170,1.4272,0,0.0001
51,1.3384,0.5218,0.5656,0.5700,0.0171,1.4264,0,0.0001
52,1.3347,0.5233,0.5658,0.5641,0.0170,1.4195,0,0.0001
53,1.3362,0.5220,0.5658,0.5656,0.0171,1.4245,0,0.0001
54,1.3333,0.5232,0.5650,0.5678,0.0171,1.4421,0,0.0001
55,1.3350,0.5238,0.5669,0.5681,0.0170,1.4251,0,0.0001
56,1.3346,0.5208,0.5684,0.5700,0.0171,1.4419,0,0.0001
57,1.3306,0.5213,0.5703,0.5678,0.0170,1.4301,0,0.0001
58,1.3257,0.5256,0.5731,0.5656,0.0170,1.4349,0,0.0001
59,1.3283,0.5212,0.5720,0.5680,0.0171,1.4400,0,0.0001
