epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,22.6457,0.0046,0.0568,10.5602,0.1842,4232.3767,0,0.001
2,18.3171,0.5800,0.0000,10.6058,0.1934,4257.2746,0,0.001
3,17.2145,0.0000,0.0000,10.5685,0.1927,4241.6736,0,0.001
4,17.0236,0.0000,0.0000,10.5469,0.1921,4228.1358,0,0.001
5,17.0731,0.0000,0.0000,10.6162,0.1935,4258.2820,0,0.001
6,16.9773,0.0000,0.0000,10.5925,0.1927,4240.5399,0,0.001
7,16.9643,0.0000,0.0000,10.5804,0.1927,4239.3982,0,0.001
8,16.9064,0.0000,0.0000,10.5438,0.1922,4228.4205,0,0.001
9,16.9828,0.0000,0.0000,10.6158,0.1933,4252.7206,0,0.001
6,17.0000,0.0000,0.0000,10.5953,0.1928,4241.9782,0,0.0001
7,16.9777,0.0000,0.0000,10.5757,0.1930,4246.9449,0,0.0001
8,16.9239,0.0000,0.0000,10.5734,0.1924,4235.9362,0,0.0001
9,17.0103,0.0000,0.0000,10.6209,0.1936,4259.7251,0,0.0001
10,16.9100,0.0000,0.0000,10.5565,0.1922,4230.0112,0,0.0001
11,16.9445,0.0000,0.0000,10.5714,0.1928,4243.1943,0,0.0001
12,16.9444,0.0000,0.0000,10.5817,0.1929,4243.4802,0,0.0001
13,16.9462,0.0000,0.0000,10.5859,0.1929,4243.9164,0,0.0001
14,16.9968,0.0000,0.0000,10.6145,0.1936,4259.5706,0,0.0001
