epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.7396,0.0000,0.0744,73.6267,0.6599,5700.5565,0,0.0001
2,7.7272,0.0000,0.0000,72.4739,0.6539,5596.3959,0,0.0001
3,7.7155,0.0000,0.0000,71.4499,0.6490,5505.1153,0,0.0001
4,7.7008,0.0000,0.0000,70.3729,0.6430,5386.6737,0,0.0001
5,7.6833,0.0000,0.0000,69.4112,0.6381,5263.3404,0,0.0001
6,7.6579,0.0000,0.0000,68.3350,0.6332,5110.9767,0,0.0001
7,7.6224,0.0000,0.0000,67.2618,0.6291,4929.3981,0,0.0001
8,7.5699,0.0000,0.0000,65.9289,0.6233,4655.1165,0,0.0001
9,7.4915,0.0000,0.0000,64.3293,0.6160,4260.4013,0,0.0001
10,7.3763,0.0000,0.0000,62.5879,0.6118,3767.1964,0,0.0001
11,7.2118,0.0000,0.0000,60.3381,0.6071,3182.9681,0,0.0001
12,6.9995,0.0000,0.0000,57.2355,0.6002,2659.9263,0,0.0001
13,6.7647,0.0000,0.0000,53.0796,0.5967,2527.9290,0,0.0001
14,6.5470,0.0000,0.0000,46.8199,0.5903,3008.1820,0,0.0001
15,6.3645,0.0000,0.0000,38.0679,0.5844,3758.1321,0,0.0001
16,6.2164,0.0000,0.0000,26.8867,0.5793,4201.7088,0,0.0001
17,6.1051,0.0000,0.0000,15.5883,0.5732,4346.9939,0,0.0001
18,6.0303,0.0000,0.0000,8.2846,0.5667,4383.5714,0,0.0001
19,5.9855,0.2028,0.0000,7.0178,0.5598,4398.9121,0,0.0001
20,5.9596,0.5679,0.0000,8.3024,0.5547,4384.2398,0,0.0001
21,5.9438,0.5686,0.0000,9.1032,0.5486,4377.1165,0,0.0001
22,5.9327,0.5695,0.0000,9.3215,0.5426,4367.9971,0,0.0001
23,5.9296,0.5666,0.0000,9.4508,0.5336,4396.9418,0,0.0001
24,5.9292,0.5708,0.0000,9.3692,0.5296,4354.5621,0,0.0001
