epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,22.6642,0.0034,0.2101,10.1148,0.0619,4665.1724,0,0.0001
2,19.9568,0.0000,0.1472,6.5486,0.0425,4495.0152,0,0.0001
3,18.3523,0.0000,0.2794,5.1779,0.0360,4352.4431,0,0.0001
4,17.5315,0.0000,0.3840,4.7002,0.0325,4243.3232,0,0.0001
5,16.9667,0.0000,0.4454,4.3016,0.0292,4111.5448,0,0.0001
6,16.5033,0.0000,0.4501,3.9553,0.0320,3982.4031,0,0.0001
7,16.0994,0.0000,0.4660,3.7770,0.0309,3834.7329,0,0.0001
8,15.6867,0.0000,0.4744,3.6627,0.0315,3668.3533,0,0.0001
9,15.2313,0.0000,0.4823,3.5575,0.0316,3471.5501,0,0.0001
10,14.6902,0.0000,0.4854,3.4558,0.0312,3229.7922,0,0.0001
11,14.0026,0.0000,0.4831,3.3770,0.0304,2924.4964,0,0.0001
12,13.1709,0.0000,0.4816,3.3105,0.0309,2567.4977,0,0.0001
13,11.9901,0.0000,0.4985,3.2969,0.0293,2106.1155,0,0.0001
14,10.4388,0.0000,0.4994,3.2710,0.0301,1592.5716,0,0.0001
15,8.3876,0.0001,0.5068,3.3475,0.0302,1052.9911,0,0.0001
16,5.6541,0.0011,0.4937,3.5367,0.0299,580.7957,0,0.0001
17,4.2641,0.0040,0.2510,4.6851,0.0346,394.8016,0,0.0001
18,4.0948,0.0151,0.0164,3.7216,0.0359,363.6839,0,0.0001
19,3.7076,0.0119,0.0675,3.0649,0.0332,360.9527,0,0.0001
20,3.4741,0.0598,0.3250,2.4411,0.0320,334.2097,0,0.0001
21,3.3465,0.0366,0.2366,2.1473,0.0296,299.4794,0,0.0001
22,3.2537,0.1841,0.1126,1.8873,0.0339,299.2935,0,0.0001
23,3.1616,0.0000,0.0998,1.7397,0.0337,279.8705,0,0.0001
24,2.9645,0.1116,0.1445,1.8798,0.0320,225.6425,0,0.0001
21,3.3987,0.0351,0.2373,2.1495,0.0303,287.5161,0,0.0001
22,3.3675,0.2002,0.1150,1.9263,0.0359,333.4450,0,0.0001
23,3.4242,0.0000,0.1068,1.8441,0.0372,360.0709,0,0.0001
24,3.3126,0.0475,0.1573,1.8547,0.0352,334.4184,0,0.0001
25,3.1359,0.0300,0.1890,1.7753,0.0338,287.4509,0,0.0001
26,2.9464,0.0732,0.1777,1.7763,0.0314,230.1985,0,0.0001
27,2.8700,0.1464,0.1746,1.5898,0.0298,183.4849,0,0.0001
28,2.8384,0.2847,0.1832,1.5529,0.0299,204.7038,0,0.0001
29,2.8541,0.0000,0.2309,1.5155,0.0298,212.0145,0,0.0001
30,2.7558,0.3380,0.2490,1.4141,0.0291,192.1688,0,0.0001
31,2.6272,0.0384,0.2269,1.4458,0.0278,165.6126,0,0.0001
32,2.5514,0.1242,0.2411,1.3860,0.0270,150.7168,0,0.0001
33,2.4935,0.1973,0.2557,1.2857,0.0260,128.4749,0,0.0001
34,4.0179,0.3185,0.2342,1.3937,0.0340,273.7333,0,0.0001
35,2.8973,0.2272,0.1188,1.6875,0.0293,215.5759,0,0.0001
36,3.1102,0.0000,0.2228,2.0026,0.0308,250.9032,0,0.0001
37,2.9105,0.2978,0.3564,1.5758,0.0302,228.1318,0,0.0001
38,2.7941,0.3414,0.2179,1.4428,0.0302,195.8602,0,0.0001
39,2.7563,0.0000,0.1039,1.6706,0.0301,185.8453,0,0.0001
40,2.7214,0.0453,0.2054,1.4034,0.0296,187.4493,0,0.0001
41,2.6773,0.3565,0.2451,1.3299,0.0291,179.7586,0,0.0001
42,2.5985,0.0549,0.1571,1.3783,0.0281,167.6983,0,0.0001
43,2.5609,0.2162,0.2071,1.3931,0.0280,164.6688,0,0.0001
44,2.5173,0.3199,0.2927,1.3284,0.0274,157.4090,0,0.0001
45,2.4809,0.2386,0.2417,1.2960,0.0272,151.6854,0,0.0001
46,2.4347,0.3586,0.2387,1.3183,0.0268,143.8916,0,0.0001
47,2.4280,0.3197,0.3348,1.2771,0.0269,146.4185,0,0.0001
48,2.3826,0.3605,0.3291,1.3195,0.0265,137.3918,0,0.0001
49,2.3605,0.3661,0.2966,1.2929,0.0264,133.2404,0,0.0001
50,2.3184,0.3622,0.3370,1.3092,0.0259,124.9005,0,0.0001
51,2.2817,0.3544,0.3454,1.2838,0.0256,108.4837,0,0.0001
52,2.2948,0.3782,0.3378,1.2863,0.0256,100.6699,0,0.0001
53,2.2963,0.3335,0.3403,1.2804,0.0254,105.5784,0,0.0001
54,2.2766,0.3432,0.3516,1.2963,0.0250,100.6308,0,0.0001
55,2.3161,0.3234,0.3549,1.2784,0.0255,125.7455,0,0.0001
56,2.3218,0.3737,0.3300,1.2428,0.0256,129.3900,0,0.0001
57,2.2873,0.3623,0.3751,1.2822,0.0255,125.1707,0,0.0001
58,2.2618,0.4115,0.3804,1.2621,0.0252,123.0552,0,0.0001
59,2.2341,0.3776,0.3665,1.2814,0.0251,118.0984,0,0.0001
60,2.2322,0.4215,0.4034,1.2938,0.0253,121.4940,0,0.0001
61,2.2039,0.3912,0.3822,1.2693,0.0251,116.3602,0,0.0001
62,2.1899,0.4147,0.3748,1.2536,0.0250,116.0507,0,0.0001
63,2.1697,0.4188,0.4038,1.2548,0.0248,113.0248,0,0.0001
64,2.1582,0.4161,0.3860,1.2645,0.0249,113.2291,0,0.0001
65,2.1331,0.4273,0.4136,1.2592,0.0246,109.3313,0,0.0001
66,2.1196,0.4331,0.4121,1.2617,0.0246,107.9313,0,0.0001
67,2.1072,0.4299,0.4160,1.2746,0.0246,104.9010,0,0.0001
68,2.1007,0.4353,0.4243,1.2585,0.0246,105.9885,0,0.0001
69,2.0632,0.4209,0.4395,1.2874,0.0230,70.7258,0,0.0001
70,2.2572,0.3574,0.4384,1.2768,0.0245,109.1555,0,0.0001
