epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.3397,0.0022,0.1594,9.5470,0.1743,3763.6554,0,0.0001
2,6.2932,0.0000,0.0000,9.7030,0.1755,3862.7472,0,0.0001
3,5.2481,0.0000,0.0000,9.7262,0.1758,3870.6339,0,0.0001
4,4.1921,0.0000,0.0000,9.6167,0.1739,3826.4430,0,0.0001
5,3.2399,0.0000,0.0000,9.7221,0.1760,3872.7228,0,0.0001
6,2.9490,0.0000,0.0000,9.7116,0.1756,3866.2389,0,0.0001
7,2.6446,0.0000,0.0000,9.7114,0.1754,3860.7525,0,0.0001
8,2.5160,0.0000,0.0000,9.6245,0.1741,3832.1006,0,0.0001
9,2.4601,0.0000,0.0000,9.5993,0.1735,3818.5565,0,0.0001
10,2.4247,0.0000,0.0000,9.6562,0.1746,3842.4902,0,0.0001
11,2.3579,0.0000,0.0000,9.6524,0.1745,3841.2841,0,0.0001
12,2.3336,0.0000,0.0000,9.6809,0.1752,3856.7271,0,0.0001
13,2.2933,0.0000,0.0000,9.6794,0.1751,3855.5389,0,0.0001
14,2.2624,0.0000,0.0000,9.6722,0.1749,3849.6688,0,0.0001
15,2.2480,0.0000,0.0000,9.6460,0.1744,3837.4046,0,0.0001
16,2.1438,0.0000,0.0000,9.6636,0.1748,3847.1798,0,0.0001
17,1.9796,0.0000,0.0001,9.6643,0.1746,3842.9714,0,0.0001
18,1.6910,0.0000,0.1206,9.6915,0.1756,3864.3635,0,0.0001
19,1.5709,0.0000,0.5270,9.7036,0.1755,3862.2783,0,0.0001
20,1.4864,0.0000,0.5686,9.6877,0.1751,3854.8809,0,0.0001
21,1.4381,0.0000,0.5676,9.6572,0.1745,3840.4828,0,0.0001
22,1.3959,0.0000,0.5674,9.6576,0.1745,3839.5525,0,0.0001
23,1.3110,0.0006,0.5608,9.6623,0.1748,3846.9948,0,0.0001
24,1.2395,0.1181,0.5687,9.7216,0.1759,3871.5069,0,0.0001
25,1.1834,0.2802,0.5700,9.6913,0.1752,3856.2332,0,0.0001
26,1.1105,0.4243,0.5718,9.6849,0.1749,3849.2075,0,0.0001
27,1.0958,0.5144,0.5609,9.6228,0.1740,3828.8735,0,0.0001
28,1.0619,0.5701,0.5595,9.6648,0.1748,3847.5772,0,0.0001
29,0.9809,0.6005,0.5692,9.6572,0.1748,3846.1297,0,0.0001
30,0.9261,0.6155,0.5878,9.6461,0.1743,3837.2806,0,0.0001
31,0.9287,0.5951,0.5806,9.6729,0.1751,3853.3933,0,0.0001
32,0.8743,0.6006,0.5790,9.7084,0.1756,3864.5580,0,0.0001
33,0.8759,0.6079,0.5931,9.6362,0.1741,3831.1508,0,0.0001
34,0.8663,0.6194,0.5967,9.6389,0.1744,3838.2938,0,0.0001
35,0.8573,0.6303,0.5941,9.6759,0.1750,3850.2501,0,0.0001
36,0.8230,0.6365,0.5916,9.6321,0.1740,3829.0850,0,0.0001
37,0.8051,0.6407,0.5939,9.6419,0.1744,3837.4853,0,0.0001
38,0.8041,0.6475,0.5955,9.6652,0.1750,3850.7843,0,0.0001
39,0.8177,0.6445,0.5965,9.7134,0.1758,3868.9501,0,0.0001
40,0.8195,0.6484,0.5975,9.6221,0.1741,3831.1837,0,0.0001
41,0.8369,0.6382,0.5981,9.7066,0.1758,3869.9431,0,0.0001
42,0.8258,0.6574,0.6015,9.6217,0.1741,3830.5991,0,0.0001
43,0.7947,0.6720,0.5982,9.6538,0.1743,3836.6072,0,0.0001
44,0.7791,0.6629,0.5968,9.6886,0.1751,3854.7970,0,0.0001
45,0.7575,0.6663,0.6003,9.6172,0.1739,3828.9229,0,0.0001
46,0.7660,0.6573,0.6012,9.6394,0.1744,3838.5530,0,0.0001
47,0.7422,0.6639,0.6037,9.6544,0.1746,3840.9954,0,0.0001
48,0.7345,0.6756,0.6047,9.7199,0.1759,3872.5620,0,0.0001
49,0.7110,0.6771,0.6028,9.7149,0.1757,3866.4747,0,0.0001
50,0.6890,0.6876,0.6068,9.6715,0.1748,3847.9458,0,0.0001
51,0.6731,0.6944,0.6448,9.6573,0.1747,3845.6350,0,0.0001
52,0.6646,0.6914,0.6560,9.6481,0.1741,3832.5343,0,0.0001
53,0.6615,0.6896,0.6702,9.6995,0.1751,3856.1514,0,0.0001
54,0.6554,0.6933,0.6750,9.6291,0.1745,3839.2743,0,0.0001
55,0.6524,0.6954,0.6971,9.6946,0.1754,3860.8991,0,0.0001
56,0.6439,0.6959,0.7018,9.6726,0.1750,3851.9270,0,0.0001
57,0.6395,0.7002,0.7139,9.6469,0.1743,3836.9234,0,0.0001
58,0.6429,0.7012,0.7249,9.6982,0.1756,3863.5580,0,0.0001
59,0.6426,0.6955,0.7391,9.6711,0.1748,3847.9689,0,0.0001
60,0.6279,0.6990,0.7428,9.6558,0.1746,3842.3390,0,0.0001
61,0.6390,0.7021,0.7520,9.7270,0.1758,3870.8627,0,0.0001
62,0.6719,0.6811,0.7564,9.7222,0.1762,3878.1673,0,0.0001
63,0.6392,0.6924,0.7604,9.7308,0.1759,3871.9027,0,0.0001
64,0.6647,0.6984,0.7679,9.6953,0.1753,3858.4119,0,0.0001
65,0.6644,0.6790,0.7555,9.6630,0.1747,3844.8075,0,0.0001
66,0.6735,0.6690,0.7569,9.6919,0.1752,3855.0784,0,0.0001
