epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.7395,0.0046,0.0677,9.3611,0.1761,3877.2388,0,0.0001
2,7.6501,0.0000,0.0000,9.7070,0.1756,3866.7890,0,0.0001
3,7.3338,0.0000,0.0000,9.6762,0.1752,3857.5600,0,0.0001
4,6.6387,0.0000,0.0000,9.6848,0.1757,3867.7963,0,0.0001
5,6.1214,0.1287,0.0000,9.6375,0.1745,3842.3083,0,0.0001
6,5.9403,0.6180,0.0000,9.7018,0.1759,3873.4481,0,0.0001
7,5.9161,0.6189,0.0000,9.6844,0.1755,3864.2787,0,0.0001
8,5.9164,0.6206,0.0000,9.6520,0.1748,3847.8851,0,0.0001
9,5.9119,0.6195,0.0000,9.6679,0.1753,3858.5569,0,0.0001
10,5.9120,0.6178,0.0000,9.7151,0.1761,3875.7103,0,0.0001
11,5.9124,0.6187,0.0000,9.6781,0.1757,3867.1676,0,0.0001
11,5.9126,0.6186,0.0000,9.6958,0.1757,3867.9833,0,5e-06
12,5.9119,0.6185,0.0000,9.7007,0.1757,3868.4677,0,5e-06
13,5.9121,0.6186,0.0000,9.6790,0.1757,3867.8166,0,5e-06
14,5.9124,0.6182,0.0000,9.6960,0.1759,3872.0910,0,5e-06
15,5.9124,0.6198,0.0000,9.6694,0.1751,3856.0438,0,5e-06
16,5.9119,0.6183,0.0000,9.6986,0.1758,3871.2526,0,5e-06
17,5.9123,0.6194,0.0000,9.6688,0.1753,3859.3121,0,5e-06
18,5.9120,0.6200,0.0000,9.6610,0.1751,3854.0894,0,5e-06
19,5.9120,0.6203,0.0000,9.6515,0.1749,3850.4888,0,5e-06
20,5.9126,0.6217,0.0000,9.6237,0.1743,3836.5229,0,5e-06
21,5.9119,0.6189,0.0000,9.6972,0.1756,3865.4130,0,5e-06
22,5.9120,0.6188,0.0000,9.6831,0.1756,3866.3011,0,5e-06
23,5.9117,0.6167,0.0000,9.7297,0.1766,3887.9964,0,5e-06
24,5.9113,0.6193,0.0000,9.6737,0.1753,3860.9581,0,5e-06
25,5.9117,0.6197,0.0000,9.6673,0.1752,3856.7682,0,5e-06
26,5.9120,0.6169,0.0000,9.7409,0.1765,3885.0612,0,5e-06
27,5.9118,0.6179,0.0000,9.7260,0.1760,3875.5225,0,5e-06
28,5.9115,0.6196,0.0000,9.6683,0.1752,3857.9406,0,5e-06
29,5.9116,0.6215,0.0000,9.6209,0.1744,3838.8845,0,5e-06
30,5.9118,0.6189,0.0000,9.6941,0.1756,3864.4995,0,5e-06
31,5.9117,0.6187,0.0000,9.6820,0.1757,3866.8860,0,5e-06
32,5.9116,0.6197,0.0000,9.6603,0.1752,3856.7137,0,5e-06
33,5.9118,0.6190,0.0000,9.6790,0.1755,3863.9581,0,5e-06
34,5.9119,0.6165,0.0000,9.7366,0.1767,3889.1974,0,5e-06
35,5.9120,0.6186,0.0000,9.7048,0.1757,3868.4176,0,5e-06
36,5.9116,0.6189,0.0000,9.6812,0.1756,3865.1723,0,5e-06
37,5.9118,0.6180,0.0000,9.7151,0.1760,3874.4410,0,5e-06
38,5.9118,0.6205,0.0000,9.6441,0.1748,3849.2271,0,5e-06
39,5.9119,0.6188,0.0000,9.6811,0.1756,3865.6353,0,5e-06
40,5.9117,0.6181,0.0000,9.6959,0.1760,3872.6642,0,5e-06
41,5.9118,0.6209,0.0000,9.6289,0.1746,3844.3266,0,5e-06
42,5.9118,0.6199,0.0000,9.6641,0.1751,3854.3720,0,5e-06
43,5.9119,0.6188,0.0000,9.6859,0.1756,3866.1952,0,5e-06
44,5.9117,0.6191,0.0000,9.6718,0.1755,3863.8220,0,5e-06
45,5.9118,0.6196,0.0000,9.6624,0.1752,3857.4939,0,5e-06
46,5.9118,0.6190,0.0000,9.6724,0.1755,3863.4935,0,5e-06
47,5.9117,0.6193,0.0000,9.6654,0.1753,3861.1103,0,5e-06
48,5.9118,0.6189,0.0000,9.6829,0.1755,3864.8210,0,5e-06
49,5.9120,0.6203,0.0000,9.6633,0.1749,3851.1062,0,5e-06
50,5.9117,0.6195,0.0000,9.6765,0.1753,3858.8778,0,5e-06
51,5.9118,0.6170,0.0000,9.7257,0.1764,3884.1444,0,5e-06
52,5.9119,0.6200,0.0000,9.6521,0.1751,3853.2376,0,5e-06
53,5.9119,0.6175,0.0000,9.7125,0.1762,3879.5763,0,5e-06
54,5.9119,0.6178,0.0000,9.7238,0.1761,3876.6267,0,5e-06
55,5.9118,0.6177,0.0000,9.7191,0.1761,3877.2696,0,5e-06
56,5.9120,0.6171,0.0000,9.7322,0.1764,3883.2202,0,5e-06
57,5.9119,0.6204,0.0000,9.6509,0.1749,3850.3783,0,5e-06
58,5.9119,0.6173,0.0000,9.7201,0.1763,3880.7585,0,5e-06
59,5.9119,0.6189,0.0000,9.6882,0.1756,3864.7124,0,5e-06
60,5.9118,0.6178,0.0000,9.7005,0.1761,3876.0131,0,5e-06
61,5.9119,0.6197,0.0000,9.6776,0.1751,3857.1445,0,5e-06
62,5.9117,0.6167,0.0000,9.7310,0.1766,3886.8720,0,5e-06
