epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.7416,0.0481,0.6080,9.2420,0.1837,4396.5021,0,0.0001
2,7.6754,0.4774,0.0000,9.5155,0.1954,4397.6281,0,0.0001
3,7.5986,0.0001,0.0000,9.5102,0.1656,4393.5699,0,0.0001
4,7.5052,0.0000,0.0000,9.5186,0.1755,4397.1333,0,0.0001
5,7.3949,0.0000,0.0000,9.5339,0.1682,4398.9848,0,0.0001
6,7.2659,0.0000,0.0000,9.5270,0.1455,4399.7310,0,0.0001
7,7.1185,0.0000,0.0000,9.5185,0.1890,4400.1751,0,0.0001
8,6.9585,0.0000,0.0000,9.5217,0.1416,4399.1312,0,0.0001
9,6.7967,0.0000,0.0000,9.5528,0.1645,4414.4297,0,0.0001
10,6.6455,0.0000,0.0000,9.5063,0.1432,4391.7343,0,0.0001
11,6.5128,0.0000,0.0000,9.5148,0.1494,4397.2258,0,0.0001
12,6.3998,0.0000,0.0000,9.5210,0.1333,4398.2338,0,0.0001
13,6.3031,0.0000,0.0000,9.5555,0.1153,4413.2553,0,0.0001
14,6.2212,0.0000,0.0000,9.5469,0.1602,4413.3658,0,0.0001
15,6.1520,0.0000,0.0000,9.5057,0.0812,4392.0807,0,0.0001
16,6.0936,0.0000,0.0000,9.5127,0.1236,4393.9932,0,0.0001
17,6.0436,0.0000,0.0000,9.5870,0.1278,4427.2499,0,0.0001
18,6.0052,0.2041,0.0000,9.5188,0.0964,4393.7873,0,0.0001
19,5.9750,0.5655,0.0000,9.5368,0.1321,4405.9776,0,0.0001
20,5.9531,0.5664,0.0000,9.5131,0.1076,4396.7538,0,0.0001
21,5.9400,0.5683,0.0000,9.4808,0.0786,4377.1802,0,0.0001
22,5.9318,0.5659,0.0000,9.5289,0.1075,4402.0835,0,0.0001
23,5.9267,0.5671,0.0000,9.5057,0.1488,4389.8916,0,0.0001
24,5.9239,0.5674,0.0000,9.5042,0.0626,4386.3615,0,0.0001
25,5.9216,0.5643,0.0000,9.5603,0.0656,4418.4155,0,0.0001
26,5.9200,0.5628,0.0000,9.5996,0.1169,4433.2047,0,0.0001
27,5.9197,0.5686,0.0000,9.4778,0.0535,4374.4129,0,0.0001
28,5.9200,0.5665,0.0000,9.5253,0.0698,4396.4194,0,0.0001
29,5.9190,0.5641,0.0000,9.5576,0.0790,4419.9407,0,0.0001
30,5.9185,0.5667,0.0000,9.5126,0.0574,4393.5346,0,0.0001
31,5.9188,0.5641,0.0000,9.5678,0.1050,4419.6206,0,0.0001
32,5.9173,0.5654,0.0000,9.5348,0.0419,4407.0073,0,0.0001
33,5.9180,0.5636,0.0000,9.5784,0.0566,4424.9741,0,0.0001
34,5.9173,0.5652,0.0000,9.5347,0.0638,4408.2644,0,0.0001
