epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,5.1210,0.4493,0.7449,2.3315,0.0318,604.4702,0,0.0001
2,2.7091,0.4565,0.7654,0.9287,0.0218,28.7847,0,0.0001
3,2.6550,0.4567,0.7729,0.7970,0.0211,27.9422,0,0.0001
4,2.6512,0.4520,0.7740,0.7918,0.0210,28.5161,0,0.0001
5,2.6090,0.4554,0.7745,0.7623,0.0208,24.1488,0,0.0001
6,2.5676,0.4537,0.7804,0.7498,0.0206,23.7520,0,0.0001
7,2.5888,0.4530,0.7812,0.7464,0.0209,27.5531,0,0.0001
8,2.5458,0.4552,0.7822,0.7308,0.0206,24.2564,0,0.0001
