epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.6685,0.0259,0.1343,6.9620,0.1589,3549.6646,0,0.0001
2,7.0249,0.0000,0.0000,8.0444,0.1548,3481.0943,0,0.0001
3,6.3579,0.0000,0.0000,9.6083,0.1774,3933.9412,0,0.0001
4,5.7334,0.0000,0.0000,9.1227,0.1672,3679.6848,0,0.0001
5,5.1528,0.0000,0.0000,9.1179,0.1657,3654.9704,0,0.0001
6,4.5512,0.0000,0.0000,8.8293,0.1605,3565.6751,0,0.0001
7,4.0051,0.0000,0.0000,9.2368,0.1668,3701.7830,0,0.0001
8,3.4538,0.0000,0.0000,8.9012,0.1647,3668.2040,0,0.0001
9,3.1286,0.0000,0.0000,8.5992,0.1604,3572.3617,0,0.0001
10,3.0986,0.0000,0.0000,8.7604,0.1588,3504.4545,0,0.0001
11,2.9451,0.0000,0.0000,8.4949,0.1622,3592.3835,0,0.0001
12,2.7429,0.0000,0.0000,8.0609,0.1636,3633.8539,0,0.0001
13,2.6977,0.0000,0.0000,8.2011,0.1614,3599.0671,0,0.0001
14,2.5842,0.0000,0.0000,9.0013,0.1624,3581.6369,0,0.0001
15,2.6225,0.0000,0.0000,8.9827,0.1658,3696.5422,0,0.0001
16,2.5990,0.0011,0.0000,8.2323,0.1633,3593.1021,0,0.0001
17,2.7034,0.6404,0.0000,9.1790,0.1642,3647.7410,0,0.0001
18,2.5936,0.6520,0.0000,8.1387,0.1579,3504.7867,0,0.0001
19,2.5194,0.0000,0.0000,7.7516,0.1490,3339.1984,0,0.0001
20,2.4607,0.0000,0.0000,8.1471,0.1586,3487.7347,0,0.0001
21,2.5174,0.0000,0.0000,8.7223,0.1618,3605.4654,0,0.0001
22,2.5281,0.0000,0.0000,8.3588,0.1592,3568.7457,0,0.0001
23,2.5398,0.0000,0.0000,8.6670,0.1577,3499.7345,0,0.0001
24,2.5206,0.0000,0.0000,8.7927,0.1573,3501.3290,0,0.0001
25,2.4008,0.0000,0.0000,9.7723,0.1847,4083.4401,0,0.0001
26,2.4990,0.0000,0.0000,8.5967,0.1589,3516.3486,0,0.0001
27,2.4697,0.0000,0.0000,10.0121,0.1820,4058.8528,0,0.0001
28,2.4098,0.0000,0.0000,8.9010,0.1759,3903.2522,0,0.0001
29,2.3534,0.0000,0.0000,8.5469,0.1785,3947.3134,0,0.0001
30,2.4885,0.0000,0.0000,8.8808,0.1616,3595.4138,0,0.0001
31,2.3793,0.0000,0.0000,9.3509,0.1764,3869.4300,0,0.0001
32,2.3521,0.0000,0.0000,8.2370,0.1651,3673.2723,0,0.0001
33,2.4312,0.0000,0.0000,8.2305,0.1613,3615.9402,0,0.0001
34,2.4014,0.0000,0.0000,9.4205,0.1703,3772.9782,0,0.0001
35,2.3940,0.0000,0.0000,9.0194,0.1675,3734.5890,0,0.0001
36,2.4199,0.0000,0.0000,9.3106,0.1679,3758.9146,0,0.0001
37,2.3889,0.0000,0.0000,8.9879,0.1714,3795.1437,0,0.0001
38,2.3753,0.0000,0.0000,8.3654,0.1586,3524.6532,0,0.0001
39,2.3429,0.0000,0.0000,9.0527,0.1756,3884.8309,0,0.0001
40,2.3428,0.0000,0.0000,10.1261,0.1910,4245.6474,0,0.0001
41,2.3599,0.0000,0.0000,8.8878,0.1613,3593.8913,0,0.0001
42,2.3822,0.0000,0.0000,8.7080,0.1618,3607.3775,0,0.0001
43,2.3665,0.0000,0.0000,8.8738,0.1652,3694.0099,0,0.0001
44,2.3442,0.0000,0.0000,8.3210,0.1586,3503.2587,0,0.0001
45,2.3231,0.0000,0.0000,9.0245,0.1663,3678.7521,0,0.0001
46,2.3504,0.0000,0.0000,8.8402,0.1602,3551.7598,0,0.0001
47,2.2825,0.0000,0.0000,8.9372,0.1732,3818.5120,0,0.0001
48,2.2482,0.0000,0.0000,8.6427,0.1773,3937.3802,0,0.0001
49,2.2711,0.0000,0.0000,9.0213,0.1692,3757.8569,0,0.0001
50,2.3022,0.0000,0.0000,8.4173,0.1588,3530.7639,0,0.0001
51,2.3672,0.0000,0.0000,8.8946,0.1674,3719.1954,0,0.0001
52,2.2354,0.0000,0.0000,9.5232,0.1776,3951.7197,0,0.0001
53,2.2300,0.0000,0.0000,9.0380,0.1677,3681.8269,0,0.0001
54,2.2091,0.0000,0.0000,8.3378,0.1569,3477.3924,0,0.0001
55,2.2599,0.0000,0.0000,8.4767,0.1570,3491.7708,0,0.0001
56,2.3969,0.0000,0.0000,9.0641,0.1648,3668.6423,0,0.0001
57,2.1532,0.0000,0.0000,8.6843,0.1623,3596.7751,0,0.0001
58,2.5302,0.0000,0.0000,9.4312,0.1613,3568.5724,0,0.0001
59,2.1142,0.0000,0.0000,8.2920,0.1671,3719.7661,0,0.0001
60,2.3241,0.0000,0.0000,8.9170,0.1628,3618.6298,0,0.0001
61,2.0282,0.0000,0.0000,9.1541,0.1729,3880.9780,0,0.0001
62,2.1751,0.0000,0.0000,8.8429,0.1617,3587.3055,0,0.0001
63,2.1086,0.0000,0.0000,8.5324,0.1564,3470.3012,0,0.0001
64,2.0069,0.0000,0.0000,8.6134,0.1577,3541.1541,0,0.0001
65,2.0156,0.0000,0.0000,8.5153,0.1552,3444.4512,0,0.0001
66,1.9649,0.0000,0.0000,8.7136,0.1620,3593.4093,0,0.0001
67,1.9575,0.0000,0.0135,9.0510,0.1617,3601.0079,0,0.0001
68,2.0060,0.0000,0.2977,10.2167,0.1798,3977.7979,0,0.0001
69,1.9332,0.0000,0.3242,9.3154,0.1668,3702.1267,0,0.0001
70,1.9119,0.0000,0.3308,9.7888,0.1655,3715.6278,0,0.0001
71,1.8444,0.0000,0.3512,8.7782,0.1658,3723.7838,0,0.0001
72,1.9413,0.0000,0.3282,8.7009,0.1600,3585.0103,0,0.0001
73,1.7910,0.0000,0.3232,9.8982,0.1846,4242.9480,0,0.0001
74,1.8570,0.0000,0.3120,8.6014,0.1597,3669.9410,0,0.0001
75,1.7526,0.0000,0.3212,8.4550,0.1488,3558.2149,0,0.0001
76,1.7963,0.0797,0.3579,8.7060,0.1441,3511.3818,0,0.0001
77,1.8092,0.0615,0.3494,9.5728,0.1561,3942.2493,0,0.0001
78,1.7636,0.0000,0.3638,10.3393,0.1527,4045.6895,0,0.0001
79,1.7035,0.0000,0.3962,8.7452,0.1370,3737.6822,0,0.0001
