epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.7570,0.0000,0.1201,356.7715,2.6712,23667.1479,0,0.0001
2,7.7461,0.0000,0.1201,344.7455,2.6023,22723.6678,0,0.0001
3,7.7337,0.0000,0.0778,333.3423,2.5410,21925.8431,0,0.0001
4,7.7166,0.0000,0.0000,320.0161,2.4694,21003.5227,0,0.0001
5,7.6978,0.0000,0.0000,304.9008,2.4091,20137.3839,0,0.0001
6,7.6705,0.0000,0.0000,285.7426,2.3380,18912.4809,0,0.0001
7,7.6322,0.0000,0.0000,262.2211,2.2728,17447.9298,0,0.0001
8,7.5748,0.0000,0.0000,230.6201,2.2045,15406.3285,0,0.0001
9,7.4898,0.0000,0.0000,187.2024,2.1307,12695.3823,0,0.0001
10,7.3648,0.0000,0.0000,131.8444,2.0567,9284.4890,0,0.0001
11,7.1911,0.0000,0.0000,72.1278,1.9849,5613.9474,0,0.0001
