epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,21.8569,0.0027,0.1779,10.4593,0.1759,4218.0191,0,0.0001
2,20.7141,0.0000,0.0000,10.4279,0.1713,4202.5644,0,0.0001
3,19.5949,0.0000,0.0000,10.3966,0.1644,4207.4487,0,0.0001
4,18.4125,0.0000,0.0000,10.2612,0.1435,4216.7817,0,0.0001
5,17.6141,0.0000,0.0000,9.8495,0.1040,4175.1704,0,0.0001
6,17.4352,0.0000,0.0000,9.2596,0.0950,4162.0663,0,0.0001
7,17.0493,0.0000,0.0000,8.9780,0.1205,4132.3261,0,0.0001
8,16.8017,0.0000,0.0000,7.2791,0.1065,4065.1507,0,0.0001
9,16.1149,0.0000,0.0000,5.3047,0.0807,3865.1928,0,0.0001
10,14.6996,0.0000,0.0000,4.0906,0.0195,3425.1993,0,0.0001
11,12.9407,0.0000,0.0000,4.2929,0.0165,2605.0962,0,0.0001
12,8.2745,0.0000,0.0000,4.5919,0.0159,985.9962,0,0.0001
13,5.1318,0.0000,0.0113,6.5531,0.0835,218.7673,0,0.0001
14,3.3177,0.0000,0.0965,4.7021,0.0353,25.6944,0,0.0001
15,3.0876,0.0000,0.1075,4.8061,0.0259,14.7340,0,0.0001
16,2.6554,0.0000,0.0000,5.5959,0.0260,2.2065,0,0.0001
17,2.5991,0.0000,0.0000,4.9472,0.0182,3.6327,0,0.0001
18,2.4547,0.0000,0.0000,4.3405,0.0192,0.9204,0,0.0001
19,2.4018,0.0056,0.0000,4.2909,0.0174,1.1865,0,0.0001
20,2.3075,0.0000,0.0000,4.3404,0.0176,0.7076,0,0.0001
21,2.2062,0.0538,0.0000,4.4693,0.0169,1.1156,0,0.0001
22,2.1181,0.2475,0.0000,4.5697,0.0168,1.4624,0,0.0001
23,2.0189,0.3833,0.0000,4.5069,0.0170,1.3015,0,0.0001
24,1.9354,0.5113,0.0001,4.3314,0.0167,1.6733,0,0.0001
25,2.0809,0.3354,0.1384,4.3355,0.0178,1.7922,0,0.0001
26,1.9532,0.4663,0.3683,4.3622,0.0169,1.5596,0,0.0001
27,1.8703,0.3832,0.4331,4.3033,0.0168,1.2443,0,0.0001
28,1.8255,0.5633,0.5119,4.2030,0.0169,1.7302,0,0.0001
29,1.7876,0.5073,0.5591,4.0299,0.0168,1.6947,0,0.0001
30,1.7451,0.5535,0.5739,3.7786,0.0167,1.6947,0,0.0001
31,1.6972,0.5030,0.5519,3.3413,0.0168,1.6023,0,0.0001
32,1.6675,0.5285,0.5682,3.0796,0.0168,1.6905,0,0.0001
33,1.6565,0.5278,0.5846,3.1708,0.0168,1.5176,0,0.0001
34,1.6335,0.5168,0.5751,2.8553,0.0168,1.4836,0,0.0001
35,1.6141,0.5385,0.5780,2.6994,0.0168,1.6200,0,0.0001
36,1.6141,0.5274,0.5859,2.8329,0.0167,1.5288,0,0.0001
37,1.6176,0.5194,0.5843,2.9634,0.0168,1.3751,0,0.0001
38,1.5832,0.5232,0.5830,2.3709,0.0169,1.7196,0,0.0001
39,1.5645,0.5268,0.5919,1.9249,0.0170,1.6008,0,0.0001
40,1.5488,0.5178,0.5920,1.7148,0.0170,1.7359,0,0.0001
41,1.5437,0.5185,0.5879,1.5871,0.0170,1.7226,0,0.0001
42,1.5364,0.5180,0.5887,1.5263,0.0171,1.6998,0,0.0001
43,1.5228,0.5274,0.5902,1.4763,0.0169,1.8007,0,0.0001
44,1.5082,0.5237,0.5936,1.3797,0.0169,1.9017,0,0.0001
45,1.5150,0.5251,0.5974,1.2895,0.0170,1.6158,0,0.0001
46,1.5043,0.5204,0.5906,1.2678,0.0170,1.7309,0,0.0001
47,1.4964,0.5245,0.5858,1.2606,0.0170,1.7905,0,0.0001
48,1.4957,0.5245,0.5931,1.1919,0.0171,1.7459,0,0.0001
49,1.4948,0.5261,0.5963,1.1469,0.0170,1.7533,0,0.0001
50,1.4903,0.5191,0.5923,1.0837,0.0170,1.7742,0,0.0001
51,1.4833,0.5233,0.5892,1.0594,0.0170,1.7938,0,0.0001
52,1.4862,0.5225,0.5920,1.0337,0.0170,1.7039,0,0.0001
53,1.4801,0.5284,0.5925,0.9947,0.0170,1.7185,0,0.0001
54,1.4692,0.5252,0.5901,1.0017,0.0171,1.8158,0,0.0001
55,1.4724,0.5262,0.5921,0.9778,0.0170,1.8040,0,0.0001
56,1.4800,0.5267,0.5905,0.9650,0.0170,1.7840,0,0.0001
57,1.4867,0.5282,0.5864,1.0131,0.0170,1.7795,0,0.0001
58,1.4806,0.5206,0.5838,0.9312,0.0170,1.8390,0,0.0001
59,1.4655,0.5245,0.5826,0.9280,0.0170,1.7979,0,0.0001
60,1.4580,0.5269,0.5879,0.9537,0.0170,1.7190,0,0.0001
61,1.4558,0.5273,0.5910,0.9325,0.0170,1.6671,0,0.0001
62,1.4500,0.5260,0.5927,0.8972,0.0170,1.7145,0,0.0001
63,1.4476,0.5265,0.5942,0.8723,0.0170,1.7386,0,0.0001
64,1.4450,0.5185,0.5944,0.8704,0.0170,1.7921,0,0.0001
65,1.4430,0.5250,0.5949,0.8305,0.0170,1.6789,0,0.0001
66,1.4492,0.5203,0.5927,0.8339,0.0171,1.7500,0,0.0001
67,1.4492,0.5196,0.5940,0.8340,0.0170,1.7934,0,0.0001
68,1.4569,0.5252,0.5931,0.8639,0.0170,1.6621,0,0.0001
69,1.4589,0.5232,0.5909,0.9288,0.0170,1.7202,0,0.0001
70,1.4538,0.5184,0.5935,0.8087,0.0170,1.8411,0,0.0001
71,1.4672,0.4775,0.5976,0.7209,0.0170,1.4385,0,1e-05
72,1.4218,0.5507,0.5955,0.8264,0.0170,1.9126,0,1e-05
73,1.4170,0.5442,0.5937,0.7862,0.0170,1.8221,0,1e-05
74,1.4364,0.5038,0.5966,0.7304,0.0170,1.5254,0,1e-05
75,1.4258,0.5219,0.5984,0.7615,0.0170,1.6211,0,1e-05
76,1.4144,0.5439,0.5954,0.7809,0.0170,1.8206,0,1e-05
