epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.7492,0.0396,0.4397,76.0496,0.6237,5794.1514,0,0.0001
2,7.6867,0.0021,0.0000,71.8464,0.5991,5380.8125,0,0.0001
3,7.6139,0.0000,0.0000,68.1063,0.5743,5010.7580,0,0.0001
4,7.5257,0.0000,0.0000,63.7268,0.5447,4576.5408,0,0.0001
5,7.4199,0.0000,0.0000,58.4788,0.5172,4129.2739,0,0.0001
6,7.2951,0.0000,0.0000,51.9759,0.4889,3650.5758,0,0.0001
7,7.1533,0.0000,0.0000,44.1156,0.4576,3169.1962,0,0.0001
8,6.9983,0.0000,0.0000,34.9671,0.4191,2743.2618,0,0.0001
9,6.8402,0.0000,0.0000,25.4102,0.3779,2505.6848,0,0.0001
10,6.6879,0.0000,0.0000,16.5270,0.3290,2574.8573,0,0.0001
11,6.5499,0.0000,0.0000,10.2382,0.2822,2920.4739,0,0.0001
12,6.4255,0.0000,0.0000,7.2637,0.2347,3416.0223,0,0.0001
13,6.3151,0.0000,0.0000,6.9496,0.1914,3846.5542,0,0.0001
14,6.2223,0.0000,0.0000,7.6771,0.1569,4106.3126,0,0.0001
15,6.1446,0.0000,0.0000,8.4496,0.1332,4261.9011,0,0.0001
16,6.0829,0.0000,0.0000,8.8383,0.1212,4298.0624,0,0.0001
17,6.0326,0.0000,0.0000,9.1210,0.1192,4352.9322,0,0.0001
18,5.9939,0.0000,0.0000,9.2207,0.1227,4353.7533,0,0.0001
19,5.9661,0.2337,0.0000,9.2572,0.1286,4350.7955,0,0.0001
20,5.9469,0.5692,0.0000,9.3230,0.1357,4365.8741,0,0.0001
21,5.9346,0.5703,0.0000,9.3205,0.1418,4356.0035,0,0.0001
22,5.9267,0.5723,0.0000,9.2807,0.1466,4336.3270,0,0.0001
23,5.9213,0.5682,0.0000,9.3875,0.1525,4379.7855,0,0.0001
24,5.9184,0.5710,0.0000,9.3245,0.1554,4350.9251,0,0.0001
25,5.9166,0.5687,0.0000,9.3775,0.1593,4374.7054,0,0.0001
26,5.9151,0.5710,0.0000,9.3309,0.1609,4351.3448,0,0.0001
27,5.9134,0.5718,0.0000,9.3104,0.1625,4344.1893,0,0.0001
28,5.9137,0.5698,0.0000,9.3564,0.1648,4363.7121,0,0.0001
29,5.9142,0.5669,0.0000,9.4162,0.1672,4392.8856,0,0.0001
30,5.9141,0.5686,0.0000,9.3884,0.1678,4376.2600,0,0.0001
31,5.9132,0.5701,0.0000,9.3478,0.1682,4361.0237,0,0.0001
32,5.9125,0.5720,0.0000,9.3172,0.1682,4341.8654,0,0.0001
33,5.9124,0.5698,0.0000,9.3570,0.1697,4364.4864,0,0.0001
34,5.9120,0.5703,0.0000,9.3531,0.1700,4359.1364,0,0.0001
35,5.9121,0.5688,0.0000,9.3828,0.1710,4373.6998,0,0.0001
36,5.9125,0.5711,0.0000,9.3308,0.1706,4350.6332,0,0.0001
37,5.9127,0.5704,0.0000,9.3566,0.1713,4357.6657,0,0.0001
38,5.9121,0.5705,0.0000,9.3455,0.1715,4356.7096,0,0.0001
39,5.9125,0.5699,0.0000,9.3625,0.1721,4362.8870,0,0.0001
40,5.9123,0.5708,0.0000,9.3397,0.1720,4353.7399,0,0.0001
41,5.9129,0.5717,0.0000,9.3230,0.1719,4344.3832,0,0.0001
42,5.9116,0.5706,0.0000,9.3504,0.1726,4356.1144,0,0.0001
43,5.9121,0.5711,0.0000,9.3380,0.1726,4351.0247,0,0.0001
44,5.9116,0.5696,0.0000,9.3702,0.1733,4365.9928,0,0.0001
45,5.9116,0.5706,0.0000,9.3409,0.1730,4356.0550,0,0.0001
