epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,5.1997,0.4285,0.6448,2.2354,0.0235,830.4825,0,0.0001
2,1.5893,0.5259,0.7613,1.1367,0.0179,1.8571,0,0.0001
3,1.5355,0.5241,0.7887,1.0357,0.0174,1.7764,0,0.0001
1,5.1142,0.4365,0.6306,2.1504,0.0253,800.7848,0,0.0001
2,1.6062,0.5239,0.7544,1.1409,0.0179,1.7872,0,0.0001
3,1.5345,0.5207,0.7934,1.0577,0.0176,1.8287,0,0.0001
4,1.5086,0.5199,0.8007,0.9617,0.0174,1.7402,0,0.0001
5,1.4806,0.5255,0.8059,0.8439,0.0172,1.6979,0,0.0001
6,1.4710,0.5195,0.8067,0.7426,0.0172,1.6770,0,0.0001
7,1.4598,0.5172,0.8080,0.6924,0.0173,1.6354,0,0.0001
8,1.4534,0.5199,0.8085,0.6644,0.0172,1.6077,0,0.0001
9,1.4443,0.5202,0.8102,0.6446,0.0172,1.6035,0,0.0001
10,1.4337,0.5201,0.8112,0.6313,0.0172,1.5710,0,0.0001
11,1.4334,0.5201,0.8112,0.6162,0.0172,1.5973,0,0.0001
12,1.4228,0.5202,0.8116,0.6160,0.0172,1.5575,0,0.0001
13,1.4221,0.5185,0.8100,0.6138,0.0173,1.5518,0,0.0001
14,1.4136,0.5247,0.8131,0.6004,0.0171,1.5445,0,0.0001
15,1.4088,0.5214,0.8142,0.6014,0.0171,1.5446,0,0.0001
16,1.4087,0.5201,0.8142,0.5971,0.0172,1.5388,0,0.0001
17,1.4045,0.5226,0.8145,0.5947,0.0171,1.5367,0,0.0001
18,1.4006,0.5217,0.8148,0.5952,0.0172,1.5177,0,0.0001
