epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,39.3254,0.0284,0.0084,9.0989,0.0988,3748.9214,0,0.0001
1,37.8353,0.0760,0.0028,9.3832,0.0857,3416.8403,0,0.0001
2,23.3008,0.2255,0.0000,6.0998,0.0349,53.9413,0,5e-05
3,22.7904,0.2317,0.0000,3.9476,0.0329,15.2983,0,2.5e-05
4,22.6978,0.2330,0.0000,2.6139,0.0328,12.7393,0,1.25e-05
5,22.6383,0.2315,0.0000,2.0303,0.0331,9.2674,0,6.25e-06
6,22.6243,0.2304,0.0000,1.8211,0.0332,9.5386,0,3.125e-06
7,22.6079,0.2322,0.0000,1.8059,0.0330,8.5775,0,1.5625e-06
8,22.6109,0.2305,0.0000,1.7725,0.0331,9.0825,0,7.8125e-07
