epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,33.5325,0.0066,0.0389,31.7170,0.2249,7491.4913,0,0.0001
2,31.5031,0.0009,0.0000,31.0586,0.1145,6901.1731,0,5e-05
3,34.0042,0.0000,0.0000,30.4633,0.1003,7682.7428,0,2.5e-05
4,32.6691,0.0000,0.0000,30.3351,0.0942,7281.9537,0,1.25e-05
5,32.9066,0.0000,0.0000,30.5917,0.0908,7342.1694,0,6.25e-06
1,33.5325,0.0066,0.0389,31.7177,0.2250,7491.4913,0,0.0001
2,31.5031,0.0009,0.0000,31.0593,0.1145,6901.1731,0,5e-05
3,34.0042,0.0000,0.0000,30.4645,0.1004,7682.7428,0,2.5e-05
4,32.6691,0.0000,0.0000,30.3381,0.0941,7281.9537,0,1.25e-05
5,32.9065,0.0000,0.0000,30.5940,0.0908,7342.1694,0,6.25e-06
6,32.2431,0.0000,0.0000,30.6178,0.0942,7149.0241,0,3.125e-06
7,32.1215,0.0000,0.0000,29.7953,0.0935,7122.6424,0,1.5625e-06
8,31.7751,0.0000,0.0000,30.8240,0.0936,6999.6229,0,7.8125e-07
9,32.7032,0.0000,0.0000,29.9489,0.0915,7295.2375,0,3.90625e-07
10,32.8491,0.0000,0.0000,30.5731,0.0916,7320.3895,0,1.953125e-07
11,32.9878,0.0000,0.0000,30.2850,0.0920,7375.9787,0,9.765625e-08
12,33.1318,0.0000,0.0000,30.7344,0.0908,7415.9356,0,4.8828125e-08
13,32.3293,0.0000,0.0000,30.3116,0.0935,7176.9308,0,2.44140625e-08
14,31.4097,0.0000,0.0000,30.5990,0.0944,6905.7952,0,1.220703125e-08
15,32.2623,0.0000,0.0000,30.4966,0.0928,7144.0761,0,6.103515625e-09
16,32.8031,0.0000,0.0000,29.9752,0.0916,7339.3546,0,3.0517578125e-09
17,35.1176,0.0000,0.0000,29.6717,0.0886,8032.0050,0,1.52587890625e-09
18,33.1734,0.0000,0.0000,30.3045,0.0939,7438.0533,0,7.62939453125e-10
19,32.1770,0.0000,0.0000,30.0855,0.0968,7139.5198,0,3.814697265625e-10
20,32.6339,0.0000,0.0000,30.2327,0.0926,7259.1526,0,1.9073486328125e-10
21,32.6505,0.0000,0.0000,30.2943,0.0915,7287.7145,0,9.5367431640625e-11
22,32.2664,0.0000,0.0000,30.6589,0.0940,7172.8477,0,4.76837158203125e-11
23,33.5831,0.0000,0.0000,29.4166,0.0899,7579.5438,0,2.384185791015625e-11
24,32.4381,0.0000,0.0000,30.8412,0.0930,7216.2339,0,1.1920928955078126e-11
25,32.0502,0.0000,0.0000,30.3642,0.0949,7093.0051,0,5.960464477539063e-12
26,32.7112,0.0000,0.0000,30.4076,0.0922,7303.8905,0,2.9802322387695314e-12
27,34.1323,0.0000,0.0000,29.6137,0.0904,7714.1965,0,1.4901161193847657e-12
28,33.0529,0.0000,0.0000,30.1760,0.0932,7377.0743,0,7.450580596923828e-13
29,34.4452,0.0000,0.0000,29.4760,0.0900,7835.2462,0,3.725290298461914e-13
30,33.3341,0.0000,0.0000,30.5092,0.0916,7490.4478,0,1.862645149230957e-13
31,33.2553,0.0000,0.0000,30.0205,0.0945,7447.5318,0,9.313225746154786e-14
32,33.2410,0.0000,0.0000,30.1423,0.0947,7435.4160,0,4.656612873077393e-14
33,33.6072,0.0000,0.0000,30.0435,0.0892,7559.7659,0,2.3283064365386964e-14
34,33.1768,0.0000,0.0000,30.2049,0.0906,7443.7105,0,1.1641532182693482e-14
35,33.3900,0.0000,0.0000,30.0752,0.0920,7494.0132,0,5.820766091346741e-15
36,32.8241,0.0000,0.0000,30.1370,0.0925,7324.7087,0,2.9103830456733705e-15
37,32.7098,0.0000,0.0000,30.6782,0.0933,7291.1226,0,1.4551915228366853e-15
38,32.7435,0.0000,0.0000,29.6129,0.0920,7293.2989,0,7.275957614183426e-16
39,32.9612,0.0000,0.0000,30.6327,0.0944,7359.6644,0,3.637978807091713e-16
40,32.2363,0.0000,0.0000,30.7426,0.0926,7125.0603,0,1.8189894035458566e-16
41,33.4549,0.0000,0.0000,29.9700,0.0925,7525.1858,0,9.094947017729283e-17
42,32.7803,0.0000,0.0000,30.0511,0.0908,7305.1947,0,4.5474735088646414e-17
43,31.8089,0.0000,0.0000,29.6767,0.0928,7019.1850,0,2.2737367544323207e-17
44,32.3290,0.0000,0.0000,30.0828,0.0921,7190.1739,0,1.1368683772161604e-17
45,33.5184,0.0000,0.0000,29.8110,0.0905,7541.0108,0,5.684341886080802e-18
46,32.0701,0.0000,0.0000,30.4113,0.0914,7094.7021,0,2.842170943040401e-18
47,33.7919,0.0000,0.0000,29.2074,0.0900,7622.4202,0,1.4210854715202004e-18
48,33.6916,0.0000,0.0000,30.6251,0.0927,7588.7266,0,7.105427357601002e-19
49,34.7948,0.0000,0.0000,29.6384,0.0870,7939.6395,0,3.552713678800501e-19
50,32.4775,0.0000,0.0000,30.4579,0.0940,7209.6663,0,1.7763568394002505e-19
51,31.7423,0.0000,0.0000,30.9634,0.0923,7007.0228,0,8.881784197001253e-20
52,32.9466,0.0000,0.0000,30.0499,0.0919,7363.0111,0,4.4408920985006264e-20
53,32.0244,0.0000,0.0000,30.3844,0.0931,7077.1167,0,2.2204460492503132e-20
54,32.4190,0.0000,0.0000,30.4409,0.0918,7187.0943,0,1.1102230246251566e-20
55,33.4239,0.0000,0.0000,30.4515,0.0948,7511.1845,0,5.551115123125783e-21
56,33.0983,0.0000,0.0000,30.0977,0.0918,7406.5360,0,2.7755575615628915e-21
57,33.4552,0.0000,0.0000,29.5277,0.0912,7534.4330,0,1.3877787807814457e-21
58,34.4586,0.0000,0.0000,29.8255,0.0918,7832.6629,0,6.938893903907229e-22
59,32.9752,0.0000,0.0000,30.6774,0.0933,7373.8421,0,3.4694469519536144e-22
60,33.1702,0.0000,0.0000,30.2379,0.0894,7453.3847,0,1.7347234759768072e-22
61,32.4638,0.0000,0.0000,30.5771,0.0908,7210.9562,0,8.673617379884036e-23
62,32.9988,0.0000,0.0000,30.1627,0.0914,7367.1861,0,4.336808689942018e-23
63,34.0124,0.0000,0.0000,29.9884,0.0929,7698.9168,0,2.168404344971009e-23
64,33.4883,0.0000,0.0000,29.8915,0.0910,7545.1158,0,1.0842021724855045e-23
65,32.7961,0.0000,0.0000,30.5087,0.0906,7327.3975,0,5.4210108624275224e-24
66,32.6947,0.0000,0.0000,30.1948,0.0908,7306.5008,0,2.7105054312137612e-24
67,33.4442,0.0000,0.0000,30.2113,0.0909,7507.6394,0,1.3552527156068806e-24
68,32.0031,0.0001,0.0000,30.4771,0.0962,7087.6362,0,6.776263578034403e-25
69,31.6586,0.0000,0.0000,30.8843,0.0963,6950.2156,0,3.3881317890172015e-25
70,33.4372,0.0000,0.0000,30.2736,0.0933,7519.6039,0,1.6940658945086008e-25
71,31.8821,0.0000,0.0000,30.0288,0.0942,7030.2874,0,8.470329472543004e-26
72,33.9951,0.0000,0.0000,30.1184,0.0903,7685.5315,0,4.235164736271502e-26
73,32.6541,0.0000,0.0000,30.2992,0.0886,7264.4997,0,2.117582368135751e-26
74,31.7000,0.0000,0.0000,30.4424,0.0899,6978.9429,0,1.0587911840678755e-26
75,32.8296,0.0000,0.0000,30.6337,0.0941,7316.9039,0,5.2939559203393774e-27
76,33.3332,0.0000,0.0000,30.0937,0.0928,7477.0886,0,2.6469779601696887e-27
77,32.7712,0.0000,0.0000,29.7239,0.0922,7321.8856,0,1.3234889800848443e-27
78,32.6794,0.0000,0.0000,29.5667,0.0931,7264.7774,0,6.617444900424222e-28
79,32.7071,0.0000,0.0000,29.7818,0.0934,7301.1347,0,3.308722450212111e-28
80,32.9875,0.0000,0.0000,29.9351,0.0918,7369.8973,0,1.6543612251060554e-28
81,32.8455,0.0000,0.0000,30.2214,0.0911,7334.4043,0,8.271806125530277e-29
82,32.6949,0.0000,0.0000,30.7759,0.0912,7297.0034,0,4.1359030627651386e-29
83,31.2863,0.0000,0.0000,30.9538,0.0950,6841.8275,0,2.0679515313825693e-29
84,32.9081,0.0000,0.0000,30.3075,0.0900,7349.1344,0,1.0339757656912846e-29
