epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,22.1173,0.0603,0.2108,10.0696,0.1659,4233.4855,0,0.0001
2,21.3364,0.0839,0.5063,9.1675,0.1076,4206.1742,0,0.0001
3,20.7804,0.2470,0.5319,8.4373,0.0369,4198.7926,0,0.0001
4,20.0959,0.2590,0.5334,7.7212,0.0162,4139.9075,0,0.0001
5,19.5383,0.1652,0.5322,7.0520,0.0150,4117.4466,0,0.0001
6,18.8897,0.1102,0.5243,6.3756,0.0123,4069.9752,0,0.0001
7,18.3240,0.0782,0.5092,5.7817,0.0126,4046.1870,0,0.0001
8,17.7262,0.0534,0.4907,5.2731,0.0131,4014.0998,0,0.0001
9,17.1143,0.0390,0.4716,4.8054,0.0134,3973.8428,0,0.0001
10,16.4857,0.0338,0.4667,4.3497,0.0140,3919.0002,0,0.0001
11,16.0080,0.0388,0.4814,3.9352,0.0145,3890.8960,0,0.0001
11,16.0227,0.0391,0.4787,3.9448,0.0145,3895.1584,0,0.0001
12,15.4964,0.0629,0.5012,3.5516,0.0144,3824.0653,0,0.0001
13,15.1610,0.1395,0.5116,3.3016,0.0145,3777.9294,0,0.0001
14,14.8900,0.2294,0.5126,3.1591,0.0145,3723.4728,0,0.0001
15,14.6715,0.3838,0.5235,3.0675,0.0144,3662.6724,0,0.0001
16,14.4742,0.4860,0.5365,2.9311,0.0142,3592.6117,0,0.0001
17,14.2159,0.4914,0.5449,2.7874,0.0141,3494.3031,0,0.0001
18,13.9608,0.4978,0.5500,2.6660,0.0143,3390.0036,0,0.0001
19,13.7084,0.4957,0.5605,2.5178,0.0146,3278.5822,0,0.0001
20,13.4121,0.4977,0.5664,2.3338,0.0147,3147.0496,0,0.0001
21,13.1285,0.4961,0.5721,2.2497,0.0146,3009.3703,0,0.0001
22,12.7817,0.4945,0.5719,2.1857,0.0144,2848.5986,0,0.0001
23,12.3707,0.4934,0.5807,2.0933,0.0142,2660.8708,0,0.0001
24,11.8603,0.4904,0.5799,2.0430,0.0144,2445.7827,0,0.0001
25,11.3765,0.4874,0.5805,1.8788,0.0146,2229.9484,0,0.0001
26,10.7613,0.4842,0.5819,1.8299,0.0146,1980.4571,0,0.0001
27,10.0229,0.4833,0.5854,1.7134,0.0144,1699.0231,0,0.0001
28,9.2004,0.4832,0.5781,1.7032,0.0145,1412.8581,0,0.0001
29,8.2772,0.4806,0.5845,1.5953,0.0144,1110.8349,0,0.0001
30,7.1148,0.4788,0.5837,1.5000,0.0144,798.8467,0,0.0001
31,5.7840,0.4848,0.5840,1.4800,0.0146,505.4187,0,0.0001
32,4.2650,0.4842,0.5853,1.2756,0.0149,257.3888,0,0.0001
33,2.9030,0.4712,0.5220,1.3985,0.0173,86.7670,0,0.0001
34,2.5095,0.4767,0.3682,2.1505,0.0216,26.1582,0,0.0001
35,2.7783,0.4804,0.2450,3.4137,0.0243,18.4598,0,0.0001
36,2.4786,0.4689,0.1544,2.9548,0.0224,8.5177,0,0.0001
37,2.0886,0.4823,0.1822,2.2959,0.0209,4.8048,0,0.0001
38,1.9540,0.4675,0.2327,1.9984,0.0214,5.3505,0,0.0001
39,1.9095,0.4817,0.2938,2.2882,0.0208,3.7080,0,0.0001
40,1.8736,0.4748,0.3710,1.8049,0.0203,2.5132,0,0.0001
41,1.8382,0.4711,0.3906,1.6048,0.0203,3.2683,0,0.0001
42,1.8022,0.4815,0.3813,1.3519,0.0210,2.8587,0,0.0001
43,1.7596,0.4856,0.3317,1.3275,0.0208,2.7495,0,0.0001
44,1.7273,0.4853,0.2710,1.3715,0.0197,2.9081,0,0.0001
45,1.7139,0.4933,0.2916,1.1356,0.0189,2.3518,0,0.0001
46,1.6789,0.5052,0.3441,1.2323,0.0190,2.6545,0,0.0001
47,1.6692,0.5054,0.4255,1.2101,0.0190,2.5224,0,0.0001
48,1.6538,0.5153,0.4719,1.0891,0.0187,2.4727,0,0.0001
49,1.6352,0.5164,0.4902,1.1238,0.0186,2.6515,0,0.0001
50,1.6192,0.5093,0.4908,1.0412,0.0183,2.4975,0,0.0001
51,1.6062,0.5143,0.4830,0.9803,0.0183,2.4780,0,0.0001
52,1.5883,0.5153,0.4788,1.0218,0.0182,2.5885,0,0.0001
53,1.5835,0.5040,0.4868,0.9604,0.0182,2.3612,0,0.0001
54,1.5712,0.5301,0.4897,0.9881,0.0182,2.4349,0,0.0001
55,1.5640,0.5145,0.4950,0.9548,0.0181,2.3048,0,0.0001
56,1.5513,0.5170,0.5045,0.9370,0.0181,2.2837,0,0.0001
57,1.5381,0.5192,0.5081,0.9460,0.0180,2.4405,0,0.0001
58,1.5379,0.5172,0.5134,0.9024,0.0180,2.2607,0,0.0001
59,1.5233,0.5359,0.5114,0.9130,0.0180,2.3374,0,0.0001
60,1.5211,0.5273,0.5170,0.8993,0.0180,2.2718,0,0.0001
61,1.5152,0.5231,0.5204,0.8957,0.0180,2.2246,0,0.0001
62,1.5099,0.5274,0.5187,0.8927,0.0180,2.2046,0,0.0001
63,1.5046,0.5284,0.5180,0.8661,0.0179,2.1266,0,0.0001
64,1.5006,0.5203,0.5181,0.8809,0.0180,2.1686,0,0.0001
65,1.4954,0.5311,0.5237,0.8508,0.0180,2.1132,0,0.0001
66,1.4854,0.5120,0.5288,0.8669,0.0180,2.1811,0,0.0001
67,1.4847,0.5395,0.5355,0.8429,0.0180,2.1321,0,0.0001
68,1.4773,0.5136,0.5326,0.8456,0.0180,2.1691,0,0.0001
69,1.4726,0.5270,0.5332,0.8314,0.0180,2.1943,0,0.0001
70,1.4678,0.5250,0.5370,0.8315,0.0180,2.1617,0,0.0001
71,1.4626,0.5262,0.5394,0.8193,0.0180,2.1826,0,0.0001
72,1.4603,0.5271,0.5424,0.7963,0.0179,2.1035,0,0.0001
73,1.4558,0.5293,0.5391,0.8121,0.0179,2.1731,0,0.0001
74,1.4549,0.5283,0.5432,0.7809,0.0179,2.0521,0,0.0001
75,1.4508,0.5349,0.5430,0.7869,0.0178,2.1155,0,0.0001
76,1.4493,0.5231,0.5462,0.7868,0.0177,2.0171,0,0.0001
77,1.4412,0.5212,0.5335,0.8229,0.0177,2.3309,0,0.0001
78,1.4969,0.5355,0.5681,0.7241,0.0178,1.7887,0,0.0001
79,1.4474,0.5187,0.5201,0.8070,0.0178,2.3845,0,0.0001
80,1.4513,0.5312,0.5369,0.7592,0.0177,2.0242,0,0.0001
81,1.4619,0.5134,0.5679,0.7154,0.0177,1.8765,0,0.0001
82,1.4313,0.5323,0.5423,0.8050,0.0178,2.4370,0,0.0001
83,1.4429,0.5132,0.5544,0.7218,0.0178,2.0100,0,0.0001
84,1.4400,0.5358,0.5659,0.7267,0.0177,2.0246,0,0.0001
85,1.4206,0.5132,0.5487,0.7917,0.0176,2.2608,0,0.0001
86,1.4330,0.5320,0.5624,0.7293,0.0177,1.9976,0,0.0001
87,1.4319,0.5229,0.5687,0.7261,0.0177,2.0387,0,0.0001
