epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed
1,93.9932,0.0055,0.1972,26.9848,0.1540,7484.9853,0
2,90.9806,0.0000,0.0803,26.8368,0.1119,7455.5241,0
3,89.2779,0.0033,0.0411,26.5946,0.0805,7412.6929,0
4,88.3797,0.0306,0.0540,26.2702,0.0633,7420.4735,0
5,86.8345,0.1268,0.1086,25.8171,0.0502,7353.2941,0
6,85.7768,0.2017,0.1734,25.1471,0.0417,7325.2143,0
7,84.4814,0.2383,0.2619,24.2838,0.0382,7245.8146,0
8,83.6674,0.2667,0.3516,23.1466,0.0365,7192.8032,0
9,82.5924,0.2840,0.4286,21.9653,0.0361,7084.4032,0
10,81.1099,0.3034,0.4994,20.8760,0.0350,6912.1058,0
11,79.6441,0.3125,0.5539,19.9573,0.0338,6718.3622,0
12,78.2909,0.3185,0.5913,19.3135,0.0318,6512.2105,0
13,76.7558,0.3266,0.6111,18.8688,0.0298,6273.6708,0
14,75.0385,0.3337,0.6271,18.6501,0.0285,6006.9697,0
15,73.3803,0.3356,0.6318,18.6633,0.0279,5736.8776,0
16,71.1446,0.3412,0.6407,18.7613,0.0276,5402.9034,0
