epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,5.2761,0.4381,0.6461,2.2573,0.0300,854.3416,0,0.0001
2,1.6046,0.5197,0.7591,1.1180,0.0180,1.8216,0,0.0001
3,1.5351,0.5177,0.7931,0.9990,0.0175,1.8334,0,0.0001
4,1.5053,0.5167,0.7963,0.8447,0.0174,1.7146,0,0.0001
5,1.4869,0.5150,0.8009,0.7127,0.0173,1.7145,0,0.0001
6,1.4609,0.5181,0.8024,0.6712,0.0172,1.6314,0,0.0001
7,1.4604,0.5179,0.8036,0.6660,0.0173,1.6186,0,0.0001
8,1.4565,0.5174,0.8054,0.6576,0.0172,1.6385,0,0.0001
9,1.4582,0.5149,0.8053,0.6597,0.0172,1.6469,0,0.0001
10,1.4522,0.5158,0.8057,0.6591,0.0172,1.6410,0,0.0001
11,1.4513,0.5158,0.8066,0.6593,0.0172,1.6450,0,0.0001
12,1.4469,0.5192,0.8082,0.6486,0.0172,1.6216,0,0.0001
13,1.4498,0.5158,0.8074,0.6469,0.0172,1.6267,0,0.0001
14,1.4458,0.5197,0.8072,0.6461,0.0172,1.6317,0,0.0001
15,1.4420,0.5212,0.8082,0.6441,0.0171,1.6159,0,0.0001
16,1.4421,0.5192,0.8088,0.6432,0.0171,1.6188,0,0.0001
17,1.4418,0.5193,0.8087,0.6396,0.0172,1.6131,0,0.0001
18,1.4412,0.5197,0.8091,0.6390,0.0171,1.6263,0,0.0001
19,1.4385,0.5213,0.8096,0.6352,0.0171,1.6215,0,0.0001
20,1.4372,0.5207,0.8098,0.6362,0.0171,1.6102,0,0.0001
21,1.4391,0.5178,0.8078,0.6334,0.0172,1.6229,0,0.0001
22,1.4401,0.5180,0.8081,0.6355,0.0172,1.6136,0,0.0001
23,1.4382,0.5176,0.8092,0.6308,0.0171,1.6236,0,0.0001
24,1.4328,0.5227,0.8094,0.6253,0.0171,1.5921,0,0.0001
25,1.4301,0.5228,0.8104,0.6299,0.0171,1.5851,0,0.0001
