epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,33.0521,0.1872,0.0026,23.1539,0.3429,7505.8384,0,0.0001
2,31.9414,0.0029,0.0291,14.4312,0.3404,7452.8965,0,0.0001
3,31.2485,0.2068,0.1061,5.3224,0.3408,7463.3896,0,0.0001
4,30.9663,0.2612,0.0658,1.3912,0.3410,7465.5091,0,0.0001
5,29.8293,0.2618,0.0909,0.9337,0.3411,6803.3761,0,0.0001
6,24.0756,0.2617,0.2145,3.6880,0.3422,3972.1745,0,0.0001
7,12.6334,0.2610,0.2464,7.7226,0.3420,692.8824,0,0.0001
8,7.2030,0.2672,0.3017,6.9154,0.3399,17.1819,0,0.0001
9,6.9083,0.2637,0.2808,6.1326,0.3432,9.2390,0,0.0001
10,6.8017,0.2641,0.2131,4.1299,0.3427,8.2755,0,0.0001
11,6.7499,0.2574,0.1983,2.9438,0.3442,8.4065,0,0.0001
12,6.7252,0.2590,0.1877,2.5641,0.3416,9.7465,0,0.0001
13,6.7015,0.0986,0.2014,2.3259,0.3399,8.5217,0,0.0001
14,6.6812,0.0161,0.1883,2.0780,0.3411,7.1666,0,0.0001
15,6.6767,0.0106,0.1873,1.8891,0.3403,8.0743,0,0.0001
16,6.6595,0.0128,0.1621,1.7175,0.3403,7.1059,0,0.0001
17,6.6457,0.0146,0.1600,1.5996,0.3421,6.4157,0,5e-05
18,6.6385,0.0158,0.1592,1.5289,0.3400,6.4426,0,5e-05
19,6.6372,0.0204,0.1507,1.4702,0.3416,6.7341,0,5e-05
20,6.6323,0.0200,0.1386,1.4293,0.3414,6.2620,0,5e-05
21,6.6259,0.0208,0.1318,1.3625,0.3409,6.4114,0,5e-05
22,6.6239,0.0250,0.1330,1.3185,0.3411,5.9694,0,5e-05
23,6.6175,0.0270,0.1194,1.2801,0.3424,5.3235,0,2.5e-05
