epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,53.0761,0.0077,0.2710,13.2941,0.2959,7705.5220,0,0.0001
2,51.1760,0.0000,0.0000,12.8512,0.0958,7542.8668,0,0.0001
3,50.3067,0.0000,0.0000,11.3107,0.1037,7372.0407,0,0.0001
4,50.2387,0.0000,0.0000,10.3279,0.0915,7344.2373,0,0.0001
5,49.4935,0.0000,0.0000,9.4383,0.1037,7078.1343,0,0.0001
6,49.1218,0.0000,0.0000,9.0515,0.0922,6896.1997,0,0.0001
7,48.1486,0.0000,0.0000,9.0202,0.1010,6505.7693,0,0.0001
8,47.3356,0.0000,0.0000,9.3422,0.1005,6149.3638,0,0.0001
9,46.7201,0.0000,0.0000,9.5522,0.0942,5828.5721,0,0.0001
10,45.8669,0.0000,0.0000,9.7356,0.1032,5415.3448,0,0.0001
11,45.3029,0.0000,0.0000,9.2989,0.0932,5080.8533,0,0.0001
12,44.1897,0.0000,0.0000,10.0094,0.0976,4556.1231,0,0.0001
13,42.9101,0.0000,0.0000,10.2239,0.1046,3967.5809,0,0.0001
14,41.8004,0.0000,0.0000,9.6386,0.1016,3466.0434,0,0.0001
15,40.6154,0.0000,0.0000,9.4876,0.1072,2996.1407,0,0.0001
16,39.1580,0.0000,0.0000,9.5676,0.1054,2530.2218,0,0.0001
17,37.2741,0.0000,0.0000,9.6215,0.1073,2080.5427,0,0.0001
18,35.1721,0.0000,0.0000,9.4049,0.0942,1747.7279,0,0.0001
19,33.2768,0.0630,0.0000,9.6996,0.1365,1722.1067,0,0.0001
20,32.4669,0.2218,0.0000,9.9743,0.1215,2034.7217,0,0.0001
21,33.8163,0.2459,0.0000,9.0673,0.2454,2717.3337,0,0.0001
22,34.0983,0.2424,0.0000,10.7388,0.3534,2839.7684,0,0.0001
23,32.2265,0.1387,0.0000,10.7899,0.3697,1952.1276,0,0.0001
24,31.8044,0.0503,0.0000,8.8735,0.3795,1627.8962,0,0.0001
25,33.0573,0.2449,0.0000,8.1230,0.3547,2357.4725,0,0.0001
26,32.2642,0.2165,0.0000,8.9773,0.3686,2161.2604,0,0.0001
27,32.3560,0.2240,0.0000,10.8781,0.3600,2089.2316,0,0.0001
28,32.9371,0.2449,0.0000,11.2953,0.3518,2115.5595,0,0.0001
29,33.2512,0.2591,0.0000,9.5716,0.3479,2195.8090,0,0.0001
30,32.4966,0.2344,0.0000,8.8915,0.3635,2055.8916,0,0.0001
31,31.3328,0.1960,0.0000,9.0504,0.3773,1804.1391,0,0.0001
32,32.8764,0.2514,0.0000,9.6792,0.3488,2331.7606,0,0.0001
33,32.3922,0.2405,0.0000,10.8006,0.3561,2115.0285,0,0.0001
34,32.1163,0.2303,0.0000,10.1352,0.3598,1904.8727,0,0.0001
35,31.7821,0.2288,0.0000,9.1107,0.3613,1968.3270,0,0.0001
36,31.7351,0.2349,0.0000,8.6642,0.3555,2046.9661,0,0.0001
37,31.3116,0.1467,0.0000,9.8920,0.3583,1792.9497,0,0.0001
38,31.3469,0.0763,0.0000,10.1952,0.3469,1870.9075,0,0.0001
39,28.9893,0.0324,0.0000,9.3912,0.3818,1389.3176,0,0.0001
40,29.5945,0.0073,0.0000,9.0134,0.3633,1443.6727,0,0.0001
41,29.0202,0.0002,0.0000,9.1669,0.3672,1238.3565,0,0.0001
42,28.9296,0.0004,0.0000,9.6023,0.3601,1283.2232,0,0.0001
43,28.3360,0.0000,0.0000,9.0734,0.3569,879.2605,0,0.0001
44,27.8941,0.0000,0.0000,7.9038,0.3528,907.9268,0,0.0001
45,27.7618,0.0000,0.0000,7.8968,0.3481,617.6050,0,0.0001
46,26.3531,0.0000,0.0000,7.3790,0.3685,499.4738,0,0.0001
47,25.8224,0.0000,0.0000,7.8033,0.3729,332.1218,0,0.0001
48,26.1462,0.0074,0.0000,8.0877,0.3606,526.3554,0,0.0001
49,25.1921,0.0000,0.0000,7.7270,0.3578,225.0346,0,0.0001
50,24.0854,0.0013,0.0000,6.9477,0.3643,154.3588,0,0.0001
51,24.4849,0.0020,0.0000,6.9747,0.3576,258.6352,0,0.0001
52,24.6470,0.0052,0.0000,7.5037,0.3558,193.3481,0,0.0001
53,25.2563,0.0577,0.0000,7.8705,0.3642,414.3155,0,0.0001
54,24.6902,0.0686,0.0000,8.1384,0.3572,322.8639,0,0.0001
55,25.9116,0.0186,0.0000,8.7857,0.3556,237.3369,0,0.0001
56,24.4215,0.1628,0.0000,6.6627,0.3548,190.8955,0,0.0001
57,24.5707,0.2094,0.0000,6.6402,0.3712,310.0177,0,0.0001
58,24.4027,0.2212,0.0000,6.8615,0.3631,281.2597,0,0.0001
59,23.6619,0.1720,0.0000,7.2976,0.3537,109.3625,0,0.0001
60,24.9031,0.0960,0.0000,9.0114,0.3466,168.9057,0,0.0001
61,23.6536,0.2150,0.0000,8.1530,0.3623,131.8949,0,0.0001
62,24.2729,0.2330,0.0000,7.1369,0.3599,253.5501,0,0.0001
