epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,21.6324,0.0124,0.1408,8.3620,0.1242,4716.3144,0,0.0001
2,19.1322,0.0000,0.0000,8.1653,0.0850,4643.9866,0,0.0001
3,18.5642,0.0000,0.0000,7.7769,0.0641,4579.1083,0,0.0001
4,18.2339,0.0044,0.0000,6.6241,0.0529,4588.0148,0,0.0001
5,17.8712,0.0759,0.0018,5.1864,0.0479,4530.7919,0,0.0001
6,17.5468,0.0241,0.0137,3.6615,0.0481,4443.3448,0,0.0001
7,17.1796,0.0965,0.0548,2.6898,0.0430,4323.1004,0,0.0001
8,16.5926,0.2689,0.1494,2.0057,0.0348,4142.6636,0,0.0001
9,16.0221,0.2663,0.2698,1.9036,0.0294,3951.9326,0,0.0001
10,15.3890,0.2916,0.4115,2.1136,0.0247,3697.9738,0,0.0001
11,14.6445,0.3785,0.5077,2.3623,0.0213,3367.8262,0,0.0001
12,13.8556,0.3987,0.5213,2.5801,0.0194,2999.6671,0,0.0001
13,12.7918,0.4182,0.5120,2.4165,0.0183,2541.6671,0,0.0001
14,11.4127,0.4457,0.5194,2.3166,0.0176,1993.1658,0,0.0001
15,9.5400,0.4495,0.5386,2.1347,0.0172,1351.6838,0,0.0001
16,6.9168,0.4568,0.5267,1.8062,0.0171,677.7668,0,0.0001
17,3.6669,0.4637,0.5046,1.6214,0.0191,160.6251,0,0.0001
18,3.1734,0.4886,0.2452,3.7575,0.0306,30.1467,0,0.0001
19,3.2709,0.4315,0.0419,6.8577,0.0295,16.3508,0,0.0001
20,2.3583,0.4962,0.2319,5.9436,0.0292,7.4598,0,0.0001
21,2.1297,0.4774,0.4804,4.0656,0.0264,8.1512,0,0.0001
22,1.9739,0.4749,0.4073,3.7325,0.0251,2.6094,0,0.0001
23,1.8706,0.4400,0.2610,1.9057,0.0252,2.9879,0,0.0001
24,1.8128,0.4720,0.2194,1.4044,0.0251,2.5206,0,0.0001
21,2.1291,0.4772,0.4808,4.0636,0.0262,8.2396,0,0.0001
22,1.9759,0.4743,0.4098,3.7782,0.0251,2.6996,0,0.0001
23,1.8745,0.4388,0.2638,1.8641,0.0252,2.9507,0,0.0001
24,1.8089,0.4754,0.2189,1.4078,0.0249,2.4922,0,0.0001
25,1.8045,0.4731,0.2373,1.6192,0.0244,1.8796,0,0.0001
26,1.7566,0.4672,0.2793,1.4387,0.0238,1.9805,0,0.0001
27,1.7355,0.4743,0.3213,1.3565,0.0236,2.0174,0,0.0001
28,1.7163,0.4709,0.3347,1.4155,0.0231,1.9178,0,0.0001
29,1.6946,0.4827,0.3303,1.2642,0.0230,2.0178,0,0.0001
30,1.6758,0.4703,0.3321,1.2534,0.0227,2.1070,0,0.0001
31,1.6654,0.4851,0.3549,1.2281,0.0224,2.0058,0,0.0001
32,1.6519,0.4752,0.3845,1.2004,0.0223,2.0367,0,0.0001
33,1.6402,0.4816,0.3995,1.1869,0.0220,1.9918,0,0.0001
34,1.6319,0.4841,0.4053,1.1839,0.0218,2.0181,0,0.0001
35,1.6177,0.4800,0.4053,1.1586,0.0216,2.0838,0,0.0001
36,1.6096,0.4817,0.4097,1.1601,0.0214,2.0549,0,0.0001
37,1.6028,0.4839,0.4268,1.1352,0.0214,2.0550,0,0.0001
38,1.5920,0.4813,0.4418,1.1270,0.0212,2.0494,0,0.0001
39,1.5837,0.4862,0.4502,1.1163,0.0210,2.0569,0,0.0001
40,1.5783,0.4863,0.4536,1.1031,0.0210,2.0301,0,0.0001
41,1.5670,0.4850,0.4641,1.1131,0.0208,2.0784,0,0.0001
42,1.5638,0.4767,0.4757,1.1227,0.0210,2.1160,0,0.0001
43,1.5513,0.4879,0.4789,1.0922,0.0207,2.0364,0,0.0001
44,1.5606,0.4851,0.4813,1.0925,0.0207,2.1319,0,0.0001
45,1.5445,0.4826,0.4853,1.0788,0.0207,2.1014,0,0.0001
46,1.5402,0.4833,0.4879,1.0540,0.0206,1.9936,0,0.0001
47,1.5419,0.4857,0.4931,1.0495,0.0205,2.0217,0,0.0001
48,1.5675,0.4825,0.4874,1.0742,0.0205,2.1775,0,0.0001
49,1.5719,0.4783,0.4762,1.0536,0.0204,2.0665,0,0.0001
50,1.5435,0.4796,0.4729,1.0871,0.0203,2.1520,0,0.0001
51,1.5283,0.4754,0.4754,1.0489,0.0203,2.1989,0,0.0001
52,1.5296,0.4828,0.4890,1.0215,0.0203,1.9741,0,0.0001
53,1.5154,0.4854,0.5007,0.9988,0.0203,1.9422,0,0.0001
54,1.4976,0.4782,0.4977,1.0298,0.0202,2.0760,0,0.0001
55,1.4971,0.4808,0.5115,1.0136,0.0201,2.0401,0,0.0001
56,1.4947,0.4793,0.5098,1.0048,0.0201,2.0189,0,0.0001
57,1.4869,0.4837,0.5183,0.9995,0.0200,2.0364,0,0.0001
58,1.4866,0.4858,0.5213,0.9888,0.0200,2.0058,0,0.0001
59,1.4848,0.4827,0.5186,0.9861,0.0201,2.0922,0,0.0001
60,1.4807,0.4827,0.5204,0.9859,0.0200,2.0844,0,0.0001
61,1.4763,0.4837,0.5212,0.9703,0.0199,2.0447,0,0.0001
62,1.4752,0.4859,0.5176,0.9443,0.0198,2.0261,0,0.0001
63,1.4745,0.4805,0.5169,0.9335,0.0199,2.0035,0,0.0001
64,1.4734,0.4793,0.5183,0.9355,0.0200,1.9488,0,0.0001
65,1.4592,0.4851,0.5234,0.9293,0.0198,2.0226,0,0.0001
66,1.4587,0.4883,0.5274,0.9169,0.0197,1.9825,0,0.0001
67,1.4524,0.4850,0.5320,0.9222,0.0197,2.0034,0,0.0001
68,1.4486,0.4868,0.5351,0.8971,0.0196,1.9773,0,0.0001
69,1.4470,0.4861,0.5418,0.8963,0.0197,2.0224,0,0.0001
70,1.4864,0.4839,0.5425,0.8927,0.0196,1.9575,0,0.0001
