epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.6573,0.0118,0.1560,9.4042,0.3222,4348.4475,0,0.0001
2,7.3688,0.0000,0.0000,9.3697,0.1977,4354.2279,0,0.0001
3,7.1539,0.0000,0.0000,9.3982,0.1981,4372.8717,0,0.0001
4,6.9749,0.0000,0.0000,9.4097,0.1980,4370.3606,0,0.0001
5,6.8285,0.0000,0.0000,9.4473,0.1986,4384.2641,0,0.0001
6,6.7077,0.0000,0.0000,9.4216,0.1980,4372.5686,0,0.0001
7,6.6060,0.0000,0.0000,9.4346,0.1983,4379.0287,0,0.0001
8,6.5200,0.0000,0.0000,9.4190,0.1981,4375.2776,0,0.0001
9,6.4460,0.0000,0.0000,9.3055,0.1979,4370.2489,0,0.0001
10,6.3824,0.0000,0.0000,9.2987,0.1985,4381.3067,0,0.0001
11,6.3270,0.0000,0.0000,9.3212,0.1980,4371.1517,0,0.0001
12,6.2783,0.0000,0.0000,8.8227,0.1982,4376.9404,0,0.0001
13,6.2353,0.0000,0.0000,9.4051,0.1978,4366.8856,0,0.0001
14,6.1955,0.0000,0.0000,9.4338,0.1982,4376.2946,0,0.0001
15,6.1587,0.0000,0.0000,9.4484,0.1984,4379.4829,0,0.0001
16,6.1240,0.0000,0.0000,9.3624,0.1968,4345.6211,0,0.0001
17,6.0919,0.0000,0.0000,9.4354,0.1983,4376.5098,0,0.0001
18,6.0618,0.0000,0.0000,9.4034,0.1977,4366.1818,0,0.0001
19,6.0350,0.0000,0.0000,9.4180,0.1981,4373.3741,0,0.0001
20,6.0110,0.0000,0.0000,9.4414,0.1985,4382.3917,0,0.0001
21,5.9909,0.0000,0.0000,9.3872,0.1973,4356.5950,0,0.0001
22,5.9737,0.0000,0.0000,9.4560,0.1987,4387.7568,0,0.0001
23,5.9600,0.0000,0.0000,9.4541,0.1989,4391.0320,0,0.0001
24,5.9491,0.0000,0.0000,9.4441,0.1985,4381.7124,0,0.0001
25,5.9411,0.0000,0.0000,9.3959,0.1975,4361.4265,0,0.0001
26,5.9345,0.0000,0.0000,9.4471,0.1987,4387.4028,0,0.0001
27,5.9300,0.0000,0.0000,9.4580,0.1988,4389.3289,0,0.0001
28,5.9268,0.0003,0.0000,9.4179,0.1980,4371.2538,0,0.0001
29,5.9246,0.2775,0.0000,9.4851,0.1994,4402.7760,0,0.0001
