epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,4.5966,0.4609,0.7501,1.6907,0.0353,457.1165,0,0.0001
2,2.6062,0.4615,0.7833,0.9125,0.0213,26.4130,0,0.0001
3,2.5575,0.4632,0.7917,0.8800,0.0210,29.7752,0,0.0001
4,2.5469,0.4648,0.7926,0.8482,0.0211,32.3542,0,0.0001
5,2.5190,0.4627,0.7967,0.8830,0.0214,33.9487,0,0.0001
6,2.5064,0.4676,0.7992,0.9045,0.0213,37.1921,0,0.0001
7,2.5637,0.4708,0.7991,0.9784,0.0221,54.3441,0,0.0001
8,2.4602,0.4722,0.8035,0.8641,0.0212,36.7853,0,0.0001
9,2.4592,0.4745,0.8042,0.8701,0.0212,37.0572,0,0.0001
10,2.4084,0.4744,0.8076,0.8343,0.0209,31.0521,0,0.0001
11,2.4526,0.4717,0.8079,0.8838,0.0214,41.2800,0,0.0001
12,2.4561,0.4743,0.8106,0.8819,0.0217,46.6541,0,0.0001
13,2.4683,0.4761,0.8109,0.9393,0.0217,48.8292,0,0.0001
14,2.4710,0.4776,0.8095,0.9440,0.0218,51.4926,0,0.0001
